101, Sullen Dragon Black crew neck t-shirt, Girls, 13.00, 50
102,Sniffle Shark Blue long sleeve t-shirt, Boys, 15.00, 100 
103,Dreams to Keep Gray pajama top, Girls, 12.00, 25
104,Dreams to Keep Gray pajama top, Boys, 12.00, 15
105,Kiss Off Red Crew neck t-shirt, Girls, 15.00, 43
106,Science Is In Green t-shirt, Girls, 10.00, 20
107,Speed Demon Red t-shirt, Boys, 12.00, 50
108,Jealous Eyes Green t-shirt, Boys, 8.00, 10
109,Math Wizard Purple t-shirt, Girls, 15.00, 30
110,Not Patriarchy Material Orange t-shirt, Boys, 13.00, 60
